started_at,finished_at,round,round_elapsed_ms,target,count,failures,min_ms,p50_ms,p95_ms,max_ms,avg_ms,page_data_p95_ms,page_render_p95_ms,edge_mw_header_p95_ms,page_data_header_p95_ms,page_render_header_p95_ms
2026-07-03T19:56:10.532Z,2026-07-03T19:56:16.035Z,6,5513.5,Published Home,5,0,180.0,181.0,190.0,190.0,184.0,5.6,5.8,0.2,,
2026-07-03T19:56:10.532Z,2026-07-03T19:56:16.035Z,6,5513.5,Published About,5,0,175.0,184.0,187.0,187.0,181.0,7.0,7.1,0.2,,
2026-07-03T19:56:10.532Z,2026-07-03T19:56:16.035Z,6,5513.5,Published Contact,5,0,180.0,181.0,191.0,191.0,183.0,6.3,6.5,0.2,,
2026-07-03T19:56:21.038Z,2026-07-03T19:56:26.979Z,7,5940.4,Home,5,0,63.0,70.0,90.0,90.0,73.0,,,0.1,,
2026-07-03T19:56:21.038Z,2026-07-03T19:56:26.979Z,7,5940.4,Robots,5,0,38.0,44.0,124.0,124.0,61.0,,,,,
2026-07-03T19:56:21.038Z,2026-07-03T19:56:26.979Z,7,5940.4,Sitemap,5,0,41.0,43.0,50.0,50.0,44.0,,,,,
2026-07-03T19:56:21.038Z,2026-07-03T19:56:26.979Z,7,5940.4,Published Home,5,0,168.0,187.0,218.0,218.0,190.0,10.5,10.6,0.1,,
2026-07-03T19:56:21.038Z,2026-07-03T19:56:26.979Z,7,5940.4,Published About,5,0,177.0,184.0,214.0,214.0,193.0,6.9,7.0,0.1,,
2026-07-03T19:56:21.038Z,2026-07-03T19:56:26.979Z,7,5940.4,Published Contact,5,0,174.0,182.0,191.0,191.0,183.0,6.5,6.6,0.1,,
2026-07-03T19:56:31.988Z,2026-07-03T19:56:37.736Z,8,5748.2,Home,5,0,71.0,71.0,99.0,99.0,77.0,,,0.2,,
2026-07-03T19:56:31.988Z,2026-07-03T19:56:37.736Z,8,5748.2,Robots,5,0,36.0,38.0,123.0,123.0,55.0,,,,,
2026-07-03T19:56:31.988Z,2026-07-03T19:56:37.736Z,8,5748.2,Sitemap,5,0,39.0,41.0,42.0,42.0,40.0,,,,,
2026-07-03T19:56:31.988Z,2026-07-03T19:56:37.736Z,8,5748.2,Published Home,5,0,176.0,190.0,199.0,199.0,189.0,22.8,22.9,0.2,,
2026-07-03T19:56:31.988Z,2026-07-03T19:56:37.736Z,8,5748.2,Published About,5,0,177.0,182.0,196.0,196.0,184.0,6.3,6.4,0.2,,
2026-07-03T19:56:31.988Z,2026-07-03T19:56:37.736Z,8,5748.2,Published Contact,5,0,171.0,189.0,213.0,213.0,189.0,5.5,5.6,0.2,,
2026-07-03T19:56:42.753Z,2026-07-03T19:56:48.422Z,9,5668.9,Home,5,0,61.0,70.0,97.0,97.0,74.0,,,0.2,,
2026-07-03T19:56:42.753Z,2026-07-03T19:56:48.422Z,9,5668.9,Robots,5,0,41.0,43.0,140.0,140.0,62.0,,,,,
2026-07-03T19:56:42.753Z,2026-07-03T19:56:48.422Z,9,5668.9,Sitemap,5,0,36.0,41.0,44.0,44.0,40.0,,,,,
2026-07-03T19:56:42.753Z,2026-07-03T19:56:48.422Z,9,5668.9,Published Home,5,0,178.0,182.0,190.0,190.0,183.0,5.4,5.6,0.2,,
2026-07-03T19:56:42.753Z,2026-07-03T19:56:48.422Z,9,5668.9,Published About,5,0,173.0,180.0,208.0,208.0,184.0,32.8,32.9,0.2,,
2026-07-03T19:56:42.753Z,2026-07-03T19:56:48.422Z,9,5668.9,Published Contact,5,0,172.0,176.0,191.0,191.0,179.0,7.7,7.8,0.1,,
